Date,Open,High,Low,Close,Volume
4/29/2025,285.50,293.32,279.47,292.03,108906600.00
4/30/2025,279.90,284.45,270.78,282.16,128961100.00
5/1/2025,280.01,290.87,279.81,280.52,99659000.00
5/2/2025,284.90,294.78,279.81,287.21,114454700.00
5/5/2025,284.57,284.85,274.40,280.26,94618900.00
5/6/2025,273.11,277.73,271.35,275.35,76715800.00
5/7/2025,276.88,277.92,271.00,276.22,71592600.00
5/8/2025,279.63,289.80,279.41,284.82,97539400.00
5/9/2025,290.21,307.04,290.00,298.26,132387800.00
5/12/2025,321.99,322.21,311.50,318.38,112826700.00
5/13/2025,320.00,337.59,316.80,334.07,136992600.00
5/14/2025,342.50,350.00,337.00,347.68,136997300.00
5/15/2025,340.34,346.14,334.72,342.82,97882600.00
5/16/2025,346.24,351.62,342.33,349.98,95895700.00
5/19/2025,336.30,343.00,333.37,342.09,88869900.00
5/20/2025,347.87,354.99,341.63,343.82,131715500.00
5/21/2025,344.43,347.35,332.20,334.62,102354800.00
5/22/2025,331.90,347.27,331.39,341.04,97113400.00
5/23/2025,337.92,343.18,333.21,339.34,84654800.00
5/27/2025,347.35,363.79,347.32,362.89,120146400.00
5/28/2025,364.84,365.00,355.91,356.90,91404300.00
5/29/2025,365.29,367.71,356.00,358.43,88545700.00
5/30/2025,355.52,363.68,345.29,346.46,123474900.00
6/2/2025,343.50,348.02,333.33,342.69,81873800.00
6/3/2025,346.60,355.40,343.04,344.27,99324500.00
6/4/2025,345.10,345.60,327.33,332.05,98912100.00
6/5/2025,322.49,324.55,273.21,284.70,287499800.00
6/6/2025,298.83,305.50,291.14,295.14,164747700.00
6/9/2025,285.96,309.83,281.85,308.58,140908900.00
6/10/2025,314.94,327.83,310.67,326.09,151256500.00
6/11/2025,334.40,335.50,322.50,326.43,122611400.00
6/12/2025,323.08,332.56,316.86,319.11,104517500.00
